timestamp,hour,day_of_week,month,day,is_weekend,is_business_hour,is_holiday,sin_time,cos_time,sin_day,cos_day,QPS,base_instances,instances
2024-01-01 00:00:00,0,6,1,1,1,0,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,168.88481580220267,3,2
2024-01-01 01:00:00,1,6,1,1,1,0,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,170.07903978016907,3,2
2024-01-01 02:00:00,2,6,1,1,1,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,178.7308120676831,3,2
2024-01-01 03:00:00,3,6,1,1,1,0,1,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,189.60169468131798,3,2
2024-01-01 04:00:00,4,6,1,1,1,0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,199.1975260106485,3,2
2024-01-01 05:00:00,5,6,1,1,1,0,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,187.39279588712483,3,3
2024-01-01 06:00:00,6,6,1,1,1,0,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,204.00435553619027,4,5
2024-01-01 07:00:00,7,6,1,1,1,0,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,70.83564869809942,2,3
2024-01-01 08:00:00,8,6,1,1,1,0,1,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,246.6400211625817,4,2
2024-01-01 09:00:00,9,6,1,1,1,0,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,258.31240400730354,4,2
2024-01-01 10:00:00,10,6,1,1,1,0,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,263.16631644038137,4,2
2024-01-01 11:00:00,11,6,1,1,1,0,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,256.66639678785276,4,2
2024-01-01 12:00:00,12,6,1,1,1,0,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,271.36853277069173,4,2
2024-01-01 13:00:00,13,6,1,1,1,0,1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,263.72257038125895,4,2
