timestamp,hour,day_of_week,is_weekend,is_business_hour,sin_time,cos_time,QPS,instances
2024-01-01 00:00:00,0,6,1,0,0.0,1.0,90.40356403373956,2
2024-01-01 01:00:00,1,6,1,0,0.25881904510252074,0.9659258262890683,82.1090374806918,1
2024-01-01 02:00:00,2,6,1,0,0.49999999999999994,0.8660254037844387,94.20350836214965,1
2024-01-01 03:00:00,3,6,1,0,0.7071067811865475,0.7071067811865476,65.58781204541302,2
2024-01-01 04:00:00,4,6,1,0,0.8660254037844386,0.5000000000000001,67.92627203379392,1
2024-01-01 05:00:00,5,6,1,0,0.9659258262890683,0.25881904510252074,58.75222465086652,1
2024-01-01 06:00:00,6,6,1,0,1.0,6.123233995736766e-17,56.79096690213463,2
2024-01-01 07:00:00,7,6,1,0,0.9659258262890683,-0.25881904510252063,67.62736419154598,2
2024-01-01 08:00:00,8,6,1,0,0.8660254037844387,-0.49999999999999983,68.27239344843453,2
2024-01-01 09:00:00,9,6,1,0,0.7071067811865476,-0.7071067811865475,38.08984827293481,2
2024-01-01 10:00:00,10,6,1,0,0.49999999999999994,-0.8660254037844387,76.72675073585165,2
2024-01-01 11:00:00,11,6,1,0,0.258819045102521,-0.9659258262890682,102.75912822260554,3
2024-01-01 12:00:00,12,6,1,0,1.2246467991473532e-16,-1.0,90.45669808723149,2
2024-01-01 13:00:00,13,6,1,0,-0.2588190451025208,-0.9659258262890683,104.07320180493753,3
2024-01-01 14:00:00,14,6,1,0,-0.4999999999999998,-0.8660254037844388,102.35751186504557,3
2024-01-01 15:00:00,15,6,1,0,-0.7071067811865471,-0.7071067811865479,111.42745096391899,3
2024-01-01 16:00:00,16,6,1,0,-0.8660254037844384,-0.5000000000000004,135.76781727887916,3
2024-01-01 17:00:00,17,6,1,0,-0.9659258262890683,-0.25881904510252063,131.36314583502977,3
2024-01-01 18:00:00,18,6,1,0,-1.0,-1.8369701987210297e-16,126.19020760385322,3
2024-01-01 19:00:00,19,6,1,0,-0.9659258262890684,0.2588190451025203,126.34306039740804,3
2024-01-01 20:00:00,20,6,1,0,-0.8660254037844386,0.5000000000000001,138.40712272953832,2
2024-01-01 21:00:00,21,6,1,0,-0.7071067811865477,0.7071067811865474,118.51886836884565,3
2024-01-01 22:00:00,22,6,1,0,-0.5000000000000004,0.8660254037844384,114.19951504089597,3
2024-01-01 23:00:00,23,6,1,0,-0.25881904510252157,0.9659258262890681,101.09834644151756,3
2024-01-02 00:00:00,0,0,0,0,0.0,1.0,125.73210492097112,3
2024-01-02 01:00:00,1,0,0,0,0.25881904510252074,0.9659258262890683,89.76251268085042,1
2024-01-02 02:00:00,2,0,0,0,0.49999999999999994,0.8660254037844387,114.46057437922502,2
2024-01-02 03:00:00,3,0,0,0,0.7071067811865475,0.7071067811865476,74.9103211417181,1
2024-01-02 04:00:00,4,0,0,0,0.8660254037844386,0.5000000000000001,97.16699298492156,1
2024-01-02 05:00:00,5,0,0,0,0.9659258262890683,0.25881904510252074,76.29079380762118,1
2024-01-02 06:00:00,6,0,0,0,1.0,6.123233995736766e-17,80.28579891877617,2
2024-01-02 07:00:00,7,0,0,0,0.9659258262890683,-0.25881904510252063,90.89095122901864,3
2024-01-02 08:00:00,8,0,0,0,0.8660254037844387,-0.49999999999999983,73.77459932742083,1
2024-01-02 09:00:00,9,0,0,1,0.7071067811865476,-0.7071067811865475,89.48463524754595,2
2024-01-02 10:00:00,10,0,0,1,0.49999999999999994,-0.8660254037844387,91.22546578282471,3
2024-01-02 11:00:00,11,0,0,1,0.258819045102521,-0.9659258262890682,101.23183600059662,3
2024-01-02 12:00:00,12,0,0,1,1.2246467991473532e-16,-1.0,101.33496540510792,4
2024-01-02 13:00:00,13,0,0,1,-0.2588190451025208,-0.9659258262890683,113.62642452410833,4
2024-01-02 14:00:00,14,0,0,1,-0.4999999999999998,-0.8660254037844388,120.67827241055905,4
2024-01-02 15:00:00,15,0,0,1,-0.7071067811865471,-0.7071067811865479,121.80915368166029,4
2024-01-02 16:00:00,16,0,0,1,-0.8660254037844384,-0.5000000000000004,149.97562405155904,4
2024-01-02 17:00:00,17,0,0,1,-0.9659258262890683,-0.25881904510252063,134.40205747553526,4
2024-01-02 18:00:00,18,0,0,0,-1.0,-1.8369701987210297e-16,137.77133263751512,3
2024-01-02 19:00:00,19,0,0,0,-0.9659258262890684,0.2588190451025203,136.82982647010408,3
2024-01-02 20:00:00,20,0,0,0,-0.8660254037844386,0.5000000000000001,134.06950138522348,3
2024-01-02 21:00:00,21,0,0,0,-0.7071067811865477,0.7071067811865474,128.49498650413764,2
2024-01-02 22:00:00,22,0,0,0,-0.5000000000000004,0.8660254037844384,119.92351518005476,4
2024-01-02 23:00:00,23,0,0,0,-0.25881904510252157,0.9659258262890681,103.91987899324562,3
2024-01-03 00:00:00,0,1,0,0,0.0,1.0,128.0422040006815,3
